rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
71,0.0001,5.27,0.1557,4,289.34,87.6,"{""ceramic_fiber"": 130.66, ""fumed_silica"": 18.81, ""graphene"": 0.93, ""gypsum"": 138.78}",71. k=0.00010 | $5.27/kg | 4 comp
72,0.0001,5.27,0.1561,4,315.48,87.6,"{""ceramic_fiber"": 141.67, ""fumed_silica"": 21.12, ""graphene"": 0.95, ""gypsum"": 151.59}",72. k=0.00010 | $5.27/kg | 4 comp
73,0.0001,5.27,0.1565,4,318.46,87.6,"{""ceramic_fiber"": 141.8, ""fumed_silica"": 22.31, ""graphene"": 0.91, ""gypsum"": 153.27}",73. k=0.00010 | $5.27/kg | 4 comp
74,0.0001,5.28,0.1486,4,318.48,88.0,"{""ceramic_fiber"": 151.98, ""fumed_silica"": 15.88, ""graphene"": 0.99, ""gypsum"": 149.54}",74. k=0.00010 | $5.28/kg | 4 comp
75,0.0001,5.28,0.1494,4,293.55,88.0,"{""ceramic_fiber"": 139.74, ""fumed_silica"": 14.66, ""graphene"": 0.99, ""gypsum"": 137.96}",75. k=0.00010 | $5.28/kg | 4 comp
76,0.0001,5.28,0.1502,4,306.3,87.9,"{""ceramic_fiber"": 144.51, ""fumed_silica"": 16.2, ""graphene"": 0.98, ""gypsum"": 144.46}",76. k=0.00010 | $5.28/kg | 4 comp
77,0.0001,5.28,0.1509,4,277.48,87.9,"{""ceramic_fiber"": 130.48, ""fumed_silica"": 14.84, ""graphene"": 0.95, ""gypsum"": 131.07}",77. k=0.00010 | $5.28/kg | 4 comp
78,0.0001,5.28,0.1518,4,294.28,87.9,"{""ceramic_fiber"": 137.01, ""fumed_silica"": 16.71, ""graphene"": 0.92, ""gypsum"": 139.47}",78. k=0.00010 | $5.28/kg | 4 comp
79,0.0001,5.28,0.152,4,308.85,87.8,"{""ceramic_fiber"": 143.4, ""fumed_silica"": 17.82, ""graphene"": 0.97, ""gypsum"": 146.51}",79. k=0.00010 | $5.28/kg | 4 comp
80,0.0001,5.28,0.1525,4,317.68,87.8,"{""ceramic_fiber"": 147.41, ""fumed_silica"": 18.21, ""graphene"": 1.04, ""gypsum"": 150.87}",80. k=0.00010 | $5.28/kg | 4 comp
81,0.0001,5.28,0.1532,4,290.33,87.8,"{""ceramic_fiber"": 133.83, ""fumed_silica"": 17.22, ""graphene"": 0.94, ""gypsum"": 138.2}",81. k=0.00010 | $5.28/kg | 4 comp
82,0.0001,5.28,0.1534,4,280.99,87.8,"{""ceramic_fiber"": 129.27, ""fumed_silica"": 16.82, ""graphene"": 0.95, ""gypsum"": 133.78}",82. k=0.00010 | $5.28/kg | 4 comp
83,0.0001,5.28,0.1536,4,294.92,87.8,"{""ceramic_fiber"": 135.44, ""fumed_silica"": 17.85, ""graphene"": 0.95, ""gypsum"": 140.54}",83. k=0.00010 | $5.28/kg | 4 comp
84,0.0001,5.28,0.1537,4,294.35,87.7,"{""ceramic_fiber"": 134.77, ""fumed_silica"": 18.15, ""graphene"": 0.96, ""gypsum"": 140.33}",84. k=0.00010 | $5.28/kg | 4 comp
85,0.0001,5.28,0.1538,4,295.4,87.7,"{""ceramic_fiber"": 135.52, ""fumed_silica"": 17.91, ""graphene"": 0.97, ""gypsum"": 140.84}",85. k=0.00010 | $5.28/kg | 4 comp
86,0.0001,5.28,0.1543,4,277.01,87.7,"{""ceramic_fiber"": 126.36, ""fumed_silica"": 17.29, ""graphene"": 0.93, ""gypsum"": 132.25}",86. k=0.00010 | $5.28/kg | 4 comp
87,0.0001,5.28,0.1543,4,305.26,87.7,"{""ceramic_fiber"": 138.69, ""fumed_silica"": 19.61, ""graphene"": 0.98, ""gypsum"": 145.83}",87. k=0.00010 | $5.28/kg | 4 comp
88,0.0001,5.28,0.1547,4,287.97,87.7,"{""ceramic_fiber"": 130.53, ""fumed_silica"": 18.63, ""graphene"": 0.92, ""gypsum"": 137.73}",88. k=0.00010 | $5.28/kg | 4 comp
89,0.0001,5.28,0.1551,4,306.09,87.7,"{""ceramic_fiber"": 138.62, ""fumed_silica"": 19.76, ""graphene"": 0.98, ""gypsum"": 146.57}",89. k=0.00010 | $5.28/kg | 4 comp
90,0.0001,5.28,0.1561,4,272.92,87.6,"{""ceramic_fiber"": 122.48, ""fumed_silica"": 18.33, ""graphene"": 0.91, ""gypsum"": 131.06}",90. k=0.00010 | $5.28/kg | 4 comp
91,0.0001,5.28,0.1564,4,289.1,87.6,"{""ceramic_fiber"": 129.42, ""fumed_silica"": 19.61, ""graphene"": 0.92, ""gypsum"": 138.99}",91. k=0.00010 | $5.28/kg | 4 comp
92,0.0001,5.28,0.1567,4,277.35,87.6,"{""ceramic_fiber"": 123.75, ""fumed_silica"": 19.14, ""graphene"": 0.91, ""gypsum"": 133.45}",92. k=0.00010 | $5.28/kg | 4 comp
93,0.0001,5.28,0.1571,4,299.24,87.6,"{""ceramic_fiber"": 133.38, ""fumed_silica"": 20.6, ""graphene"": 1.0, ""gypsum"": 144.11}",93. k=0.00010 | $5.28/kg | 4 comp
94,0.0001,5.28,0.1585,4,278.93,87.5,"{""ceramic_fiber"": 122.74, ""fumed_silica"": 20.18, ""graphene"": 0.91, ""gypsum"": 134.94}",94. k=0.00010 | $5.28/kg | 4 comp
95,0.0001,5.28,0.1586,4,287.24,87.5,"{""ceramic_fiber"": 126.07, ""fumed_silica"": 21.08, ""graphene"": 0.94, ""gypsum"": 139.0}",95. k=0.00010 | $5.28/kg | 4 comp
96,0.0001,5.28,0.1595,4,305.49,87.4,"{""ceramic_fiber"": 132.75, ""fumed_silica"": 23.35, ""graphene"": 0.98, ""gypsum"": 148.24}",96. k=0.00010 | $5.28/kg | 4 comp
97,0.0001,5.29,0.149,4,302.55,88.0,"{""ceramic_fiber"": 142.12, ""fumed_silica"": 17.1, ""graphene"": 0.9, ""gypsum"": 142.28}",97. k=0.00010 | $5.29/kg | 4 comp
98,0.0001,5.29,0.1513,4,309.73,87.9,"{""ceramic_fiber"": 142.68, ""fumed_silica"": 19.25, ""graphene"": 0.9, ""gypsum"": 146.74}",98. k=0.00010 | $5.29/kg | 4 comp
99,0.0001,5.29,0.1527,4,273.83,87.8,"{""ceramic_fiber"": 125.58, ""fumed_silica"": 17.03, ""graphene"": 0.9, ""gypsum"": 130.15}",99. k=0.00010 | $5.29/kg | 4 comp
100,0.0001,5.29,0.1534,4,281.95,87.8,"{""ceramic_fiber"": 128.36, ""fumed_silica"": 18.21, ""graphene"": 0.91, ""gypsum"": 134.32}",100. k=0.00010 | $5.29/kg | 4 comp
101,0.0001,5.29,0.1538,4,288.68,87.7,"{""ceramic_fiber"": 131.03, ""fumed_silica"": 18.84, ""graphene"": 0.9, ""gypsum"": 137.75}",101. k=0.00010 | $5.29/kg | 4 comp
102,0.0001,5.29,0.1551,4,298.94,87.7,"{""ceramic_fiber"": 133.94, ""fumed_silica"": 20.68, ""graphene"": 0.92, ""gypsum"": 143.25}",102. k=0.00010 | $5.29/kg | 4 comp
103,0.0001,5.29,0.1557,4,283.68,87.6,"{""ceramic_fiber"": 126.86, ""fumed_silica"": 19.64, ""graphene"": 0.9, ""gypsum"": 136.13}",103. k=0.00010 | $5.29/kg | 4 comp
104,0.0001,5.29,0.1557,4,276.72,87.6,"{""ceramic_fiber"": 124.76, ""fumed_silica"": 18.15, ""graphene"": 0.97, ""gypsum"": 132.56}",104. k=0.00010 | $5.29/kg | 4 comp
105,0.0001,5.29,0.1558,4,280.75,87.6,"{""ceramic_fiber"": 126.34, ""fumed_silica"": 18.64, ""graphene"": 0.97, ""gypsum"": 134.66}",105. k=0.00010 | $5.29/kg | 4 comp
106,0.0001,5.29,0.1559,4,285.86,87.6,"{""ceramic_fiber"": 127.75, ""fumed_silica"": 19.81, ""graphene"": 0.94, ""gypsum"": 137.2}",106. k=0.00010 | $5.29/kg | 4 comp
107,0.0001,5.29,0.156,4,277.65,87.6,"{""ceramic_fiber"": 124.89, ""fumed_silica"": 18.43, ""graphene"": 0.97, ""gypsum"": 133.2}",107. k=0.00010 | $5.29/kg | 4 comp
108,0.0001,5.29,0.1574,4,276.79,87.5,"{""ceramic_fiber"": 122.67, ""fumed_silica"": 19.62, ""graphene"": 0.96, ""gypsum"": 133.38}",108. k=0.00010 | $5.29/kg | 4 comp
109,0.0001,5.29,0.1594,4,267.65,87.4,"{""ceramic_fiber"": 116.57, ""fumed_silica"": 20.24, ""graphene"": 0.92, ""gypsum"": 129.75}",109. k=0.00010 | $5.29/kg | 4 comp
110,0.0001,5.29,0.1601,4,279.87,87.4,"{""ceramic_fiber"": 121.08, ""fumed_silica"": 21.66, ""graphene"": 0.92, ""gypsum"": 136.05}",110. k=0.00010 | $5.29/kg | 4 comp
